director,count,movies_from_director,my_rating,avg_rating,diff_rating
ChadStahelski,4,"['John Wick: Chapter 2', 'John Wick', 'John Wick: Chapter 3 – Parabellum', 'John Wick: Chapter 4']",3.50,3.78,-0.28
DavidSington,1,['The Fear of 13'],3.00,3.69,-0.69
EthanCoen,1,['No Country for Old Men'],4.50,4.31,0.19
AmySchumer,1,['Amy Schumer: The Leather Special'],1.50,2.07,-0.57
IvanReitman,1,['My Super Ex-Girlfriend'],2.00,2.12,-0.12
DavidLynch,7,"['Twin Peaks', 'Blue Velvet', 'Eraserhead', 'Dune (1984)', 'Wild at Heart', 'Twin Peaks: Fire Walk with Me', 'Mulholland Drive']",3.43,3.98,-0.55
DenzelWashington,1,['Fences'],3.00,3.64,-0.64
JamesMangold,2,"['Logan', 'Girl, Interrupted']",2.50,4.04,-1.54
JacquesDemy,1,['The Umbrellas of Cherbourg'],4.00,4.14,-0.14
CharlieKaufman,1,"['Synecdoche, New York']",3.50,4.16,-0.66
JamesCameron,4,"['Aliens', 'The Terminator', 'Terminator 2: Judgment Day', 'The Abyss']",3.38,4.00,-0.62
NeillBlomkamp,1,['District 9'],3.50,3.81,-0.31
KurtKuenne,1,['Dear Zachary: A Letter to a Son About His Father'],4.00,4.40,-0.40
JeffSchaffer,1,['EuroTrip'],2.00,3.18,-1.18
MikeMills,1,['20th Century Women'],3.50,4.01,-0.51
JoshKriegman,1,['Weiner'],3.50,3.85,-0.35
ElyseSteinberg,1,['Weiner'],3.50,3.85,-0.35
Jean-PierreJeunet,1,['Alien Resurrection'],1.50,2.62,-1.12
TreyEdwardShults,1,['It Comes at Night'],4.00,3.12,0.88
MattReeves,1,['War for the Planet of the Apes'],1.50,3.81,-2.31
BongJoonHo,6,"['Okja', 'Parasite', 'Memories of Murder', 'The Host', 'Mickey 17', 'Snowpiercer']",3.50,3.94,-0.44
StellaMeghie,1,"['Everything, Everything']",2.50,2.69,-0.19
TerrenceMalick,2,"['Badlands', 'The Thin Red Line']",3.50,4.04,-0.54
ClaudeLanzmann,1,['Shoah'],4.00,4.53,-0.53
TomasAlfredson,1,['Let the Right One In'],3.00,4.03,-1.03
PaulW.S.Anderson,1,['Event Horizon'],3.00,3.33,-0.33
LloydKaufman,1,['Poultrygeist: Night of the Chicken Dead'],3.50,2.98,0.52
WongKar-Wai,1,['In the Mood for Love'],4.00,4.38,-0.38
DavidLeitch,3,"['Atomic Blonde', 'Deadpool 2', 'The Fall Guy']",2.67,3.39,-0.72
BrianDePalma,1,['Blow Out'],4.00,4.09,-0.09
AndreyZvyagintsev,1,['Loveless'],3.00,3.91,-0.91
LynneRamsay,2,"['You Were Never Really Here', 'We Need to Talk About Kevin']",4.25,3.74,0.51
DavidGordonGreen,1,['Stronger'],3.00,3.47,-0.47
DestinDanielCretton,1,['The Glass Castle'],1.50,3.35,-1.85
TaikaWaititi,3,"['Thor: Ragnarok', 'Hunt for the Wilderpeople', 'Jojo Rabbit']",2.83,3.94,-1.11
RennyHarlin,1,['Die Hard 2'],2.50,3.35,-0.85
JohnMcTiernan,3,"['Die Hard With a Vengeance', 'Predator', 'Die Hard']",3.50,3.85,-0.35
JonathanDayton,2,"['Battle of the Sexes', 'Little Miss Sunshine']",3.50,3.79,-0.29
ValerieFaris,2,"['Battle of the Sexes', 'Little Miss Sunshine']",3.50,3.79,-0.29
LenWiseman,1,['Live Free or Die Hard'],2.00,2.94,-0.94
JohnMusker,1,['Moana'],3.00,3.72,-0.72
RonClements,1,['Moana'],3.00,3.72,-0.72
JordanPeele,3,"['Get Out', 'Us', 'Nope']",3.33,3.82,-0.48
RianJohnson,4,"['Star Wars: The Last Jedi', 'Knives Out', 'Glass Onion', 'Wake Up Dead Man']",3.62,3.50,0.13
WimWenders,2,"['Paris, Texas', 'Perfect Days']",3.50,4.34,-0.84
JohnCarpenter,3,"['The Thing', 'Big Trouble in Little China', 'Christine']",3.83,3.86,-0.03
RaoulPeck,1,['I Am Not Your Negro'],3.50,4.20,-0.70
PedroAlmodóvar,2,"['All About My Mother', 'The Skin I Live In']",3.75,3.99,-0.24
SimonCurtis,1,['Goodbye Christopher Robin'],2.50,3.40,-0.90
CraigGillespie,2,"['I, Tonya', 'Dumb Money']",3.25,3.56,-0.31
SeanBaker,2,"['The Florida Project', 'Anora']",3.75,3.94,-0.19
NicolasWindingRefn,1,['The Neon Demon'],3.50,3.14,0.36
MichaelCimino,1,['The Deer Hunter'],3.00,4.21,-1.21
TommyWiseau,1,['The Room'],0.50,2.61,-2.11
LarsvonTrier,3,"['Dancer in the Dark', 'Antichrist', 'Melancholia']",3.67,3.82,-0.15
AaronSeltzer,1,['Disaster Movie'],0.50,1.19,-0.69
JasonFriedberg,1,['Disaster Movie'],0.50,1.19,-0.69
RolandEmmerich,2,"['Independence Day', 'The Day After Tomorrow']",3.25,3.19,0.06
AlanParker,1,['Pink Floyd: The Wall'],3.50,4.15,-0.65
JoshuaOppenheimer,2,"['The Act of Killing', 'The Look of Silence']",3.75,4.38,-0.63
TomPutnam,1,['The Hottie & The Nottie'],1.00,1.55,-0.55
BryanSinger,1,['Valkyrie'],3.50,3.35,0.15
AriAster,2,"['Hereditary', 'Midsommar']",3.50,3.84,-0.34
RobertZemeckis,3,"['Romancing the Stone', 'Back to the Future', 'Who Framed Roger Rabbit']",2.83,3.85,-1.02
RichardDonner,1,['The Goonies'],3.00,3.82,-0.82
WolfgangPetersen,1,['Enemy Mine'],2.50,3.39,-0.89
GusVanSant,1,['Good Will Hunting'],3.50,4.38,-0.88
KatsuhiroOtomo,1,['Akira'],3.00,4.28,-1.28
BennySafdie,2,"['Good Time', 'Uncut Gems']",4.00,3.96,0.04
JoshSafdie,3,"['Good Time', 'Uncut Gems', 'Marty Supreme']",3.67,4.01,-0.34
DennisHopper,1,['Easy Rider'],3.00,3.77,-0.77
LucBesson,2,"['Lucy', 'Valerian and the City of a Thousand Planets']",2.25,2.77,-0.52
KarynKusama,1,['The Invitation'],3.00,3.27,-0.27
BryanFogel,1,['Icarus'],3.00,3.97,-0.97
MathieuKassovitz,1,['La Haine'],3.50,4.50,-1.00
FrancisFordCoppola,4,"['Apocalypse Now', 'The Conversation', 'The Godfather', 'The Godfather Part II']",4.25,4.42,-0.17
DavidSlade,1,['Black Mirror: Bandersnatch'],3.50,3.28,0.22
AndrzejŻuławski,1,['Possession'],3.00,4.04,-1.04
CristianMungiu,1,"['4 Months, 3 Weeks and 2 Days']",4.00,4.24,-0.24
JohnHillcoat,1,['The Road'],3.00,3.66,-0.66
KellyFremonCraig,2,"['The Edge of Seventeen', ""Are You There God? It's Me, Margaret.""]",2.75,3.63,-0.88
BurrSteers,1,['Pride and Prejudice and Zombies'],1.50,2.76,-1.26
YeonSang-ho,1,['Train to Busan'],2.00,3.98,-1.98
HarmonyKorine,2,"['The Beach Bum', 'Spring Breakers']",3.75,3.05,0.70
MichaelMoore,1,['Fahrenheit 9/11'],3.50,3.61,-0.11
MichaëlR.Roskam,1,['Bullhead'],3.50,3.73,-0.23
JimJarmusch,1,['Only Lovers Left Alive'],3.50,3.81,-0.31
SusanneBier,1,['Bird Box'],2.50,2.93,-0.43
AgnèsVarda,1,['Cléo from 5 to 7'],3.00,4.18,-1.18
RobReiner,4,"['This Is Spinal Tap', 'Rumor Has It...', 'When Harry Met Sally...', 'Stand by Me']",2.50,3.62,-1.12
TomMcCarthy,1,['Spotlight'],4.00,4.12,-0.12
NoraTwomey,1,['The Breadwinner'],3.50,4.09,-0.59
AlanJ.Pakula,1,"[""All the President's Men""]",3.50,4.18,-0.68
ClaireDenis,1,['High Life'],3.50,3.20,0.30
RichardFleischer,1,['Soylent Green'],2.50,3.50,-1.00
LászlóNemes,1,['Son of Saul'],4.00,4.08,-0.08
NoahBaumbach,3,"['The Meyerowitz Stories (New and Selected)', 'Marriage Story', 'Frances Ha']",3.83,3.93,-0.09
KathrynBigelow,1,['Zero Dark Thirty'],2.50,3.69,-1.19
JamesMarsh,1,['Man on Wire'],3.00,3.88,-0.88
AndrewHaigh,1,['45 Years'],3.50,3.86,-0.36
VincenzoNatali,1,['Cube'],2.50,3.27,-0.77
AneeshChaganty,1,['Searching'],3.50,3.71,-0.21
SatoshiKon,1,['Perfect Blue'],4.00,4.38,-0.38
MikeNichols,2,"['The Graduate', 'Closer']",2.75,3.75,-1.00
DannyLeiner,1,['Harold & Kumar Go to White Castle'],2.50,3.40,-0.90
DarioArgento,1,['Suspiria'],3.50,3.92,-0.42
JamesGray,1,['Ad Astra'],3.00,3.36,-0.36
GasparNoé,1,['Enter the Void'],3.00,3.77,-0.77
ClydeGeronimi,1,['Sleeping Beauty'],2.50,3.57,-1.07
FredDurst,1,['The Fanatic'],1.00,1.76,-0.76
WayneIsham,1,['Metallica and San Francisco Symphony: S&M2'],2.50,4.04,-1.54
JeffreyNachmanoff,1,['Replicas'],0.50,2.09,-1.59
JeremySaulnier,1,['Green Room'],4.00,3.63,0.37
BobFosse,1,['All That Jazz'],3.00,4.34,-1.34
MichelangeloAntonioni,1,['Blow-Up'],2.50,3.80,-1.30
MarkAtkins,1,['Sand Sharks'],0.50,1.76,-1.26
ChiwetelEjiofor,1,['The Boy Who Harnessed the Wind'],2.50,3.70,-1.20
RobertEggers,3,"['The Lighthouse', 'The Witch', 'Nosferatu']",3.50,3.83,-0.33
StuartRosenberg,1,['Cool Hand Luke'],3.00,4.16,-1.16
GretaGerwig,3,"['Little Women', 'Lady Bird', 'Barbie']",3.17,3.90,-0.73
TobeHooper,1,['The Texas Chain Saw Massacre'],4.50,3.78,0.72
EthanManiquis,1,['Machete'],3.00,3.09,-0.09
JohnDower,1,['My Scientology Movie'],2.50,3.39,-0.89
PawełPawlikowski,1,['Ida'],3.00,4.05,-1.05
CélineSciamma,2,"['Portrait of a Lady on Fire', 'Petite Maman']",4.25,4.26,-0.01
AdamMcKay,2,"['The Big Short', 'Vice']",2.75,3.67,-0.92
KenLoach,3,"['I, Daniel Blake', 'Sorry We Missed You', 'The Old Oak']",3.33,3.85,-0.52
VittorioDeSica,1,['Bicycle Thieves'],3.50,4.29,-0.79
SriramRaghavan,1,['Andhadhun'],3.50,3.90,-0.40
OriolPaulo,1,['The Invisible Guest'],3.50,3.93,-0.43
IsaoTakahata,1,['Grave of the Fireflies'],3.00,4.48,-1.48
SergioLeone,1,"['The Good, the Bad and the Ugly']",3.50,4.51,-1.01
AkiraKurosawa,3,"['Ikiru', 'Seven Samurai', 'Rashomon']",3.33,4.44,-1.10
JuliusAvery,1,['Overlord'],3.00,3.24,-0.24
JimSheridan,1,['In the Name of the Father'],3.50,4.20,-0.70
JohnLandis,1,['An American Werewolf in London'],3.00,3.83,-0.83
JohnG.Avildsen,1,['The Karate Kid'],2.50,3.81,-1.31
Jean-LucGodard,1,['Breathless'],2.50,3.90,-1.40
HugoGélin,1,['Two Is a Family'],1.50,3.53,-2.03
ThomasKail,1,['Hamilton'],3.00,4.27,-1.27
AndreiTarkovsky,1,['Stalker'],4.00,4.40,-0.40
KayPollak,1,['As It Is in Heaven'],3.00,3.70,-0.70
RobLücker,1,['Rundfunk: Jachterwachter'],3.00,3.06,-0.06
GeorgeClooney,1,['The Midnight Sky'],2.00,2.50,-0.50
M.NightShyamalan,1,['Split'],3.00,3.52,-0.52
JaumeBalagueró,1,['[REC]'],4.00,3.68,0.32
PacoPlaza,1,['[REC]'],4.00,3.68,0.32
GaryWinick,1,['Bride Wars'],1.00,3.04,-2.04
StevenSoderbergh,3,"[""Ocean's Eleven"", 'Erin Brockovich', 'Black Bag']",2.67,3.75,-1.08
JasonReitman,2,"['Tully', 'Thank You for Smoking']",3.75,3.62,0.13
KrzysztofKieślowski,1,['The Double Life of Véronique'],2.00,4.10,-2.10
BiboBergeron,1,['The Road to El Dorado'],1.50,3.63,-2.13
DonPaul,1,['The Road to El Dorado'],1.50,3.63,-2.13
StephenHerek,1,"[""Bill & Ted's Excellent Adventure""]",3.00,3.68,-0.68
HannesHolm,1,['A Man Called Ove'],2.50,3.89,-1.39
TamaraJenkins,1,['Private Life'],3.00,3.78,-0.78
PeterHyams,1,['Outland'],3.50,3.41,0.09
StephenSommers,1,['The Mummy'],1.50,3.59,-2.09
CarlosLópezEstrada,1,['Raya and the Last Dragon'],4.00,3.20,0.80
HughWilson,1,['Police Academy'],3.00,3.21,-0.21
